child,parent,label
ньюйоркцы,американцы,1
калифорнийцы,американцы,1
фестиваль,праздник,1
государственный праздник,праздник,1
религиозный праздник,праздник,1
народный праздник,праздник,1
день святого валентина,праздник,1
студенческий праздник,праздник,1
день рождения,праздник,1
хэллоуин,праздник,1
профессиональный праздник,праздник,1
день знаний,праздник,1
обоснованный,"убедительный, доказательный",1
"весомый, веский","убедительный, доказательный",1
неопровержимый (убедительный),"убедительный, доказательный",1
центрифуга,сепаратор,1
сильнодействующий наркотик,наркотик,1
синтетический наркотик,наркотик,1
легкий наркотик,наркотик,1
наркотик растительного происхождения,наркотик,1
опиаты,наркотик,1
астрономия,естественные науки,1
биология,естественные науки,1
химические науки,естественные науки,1
ветеринарная наука,естественные науки,1
физика,естественные науки,1
метрология,естественные науки,1
антропология,естественные науки,1
психологические науки,естественные науки,1
науки о земле,естественные науки,1
механика,естественные науки,1
сельскохозяйственные науки,естественные науки,1
уфология,естественные науки,1
знак судоходности,навигационный знак,1
створные знаки,навигационный знак,1
тень (темное отражение),отражение (изображение),1
невропатолог,невролог,1
франт,модник,1
искусственное оплодотворение,оплодотворение (физиологический процесс),1
"попутчик, попутчица","спутник, спутница",1
бесплодие,бездетность,1
тарелка (посуда),столовая посуда,1
чашка (посуда),столовая посуда,1
сервиз,столовая посуда,1
погашение долга,погасить (прекратить действие),1
"белить, красить белым",малярные работы,1
шпатлевать,малярные работы,1
тигрица,тигр,1
тигренок,тигр,1
маслосыродельная промышленность,молочная промышленность,1
денежная эмиссия,эмиссия (финансы),1
эмиссия ценных бумаг,эмиссия (финансы),1
дополнительная эмиссия,эмиссия (финансы),1
ипотечная операция,кредитование под залог недвижимости,1
спирто-водочный завод,винно-водочный завод,1
винный завод,винно-водочный завод,1
обвал цен,понижение цен,1
понижательный тренд,понижение цен,1
диорама,панорама (картина),1
паломничество,религиозная деятельность,1
миссионерская деятельность,религиозная деятельность,1
исламизация (распространение ислама),религиозная деятельность,1
христианизация,религиозная деятельность,1
религиозное шествие,религиозная деятельность,1
маяк (башня),маяк,1
макулатура,бумажная продукция,1
картон,бумажная продукция,1
обои,бумажная продукция,1
тетрадь,бумажная продукция,1
лист бумаги,бумажная продукция,1
ватман,бумажная продукция,1
калька (прозрачная бумага),бумажная продукция,1
писчая бумага,бумажная продукция,1
оберточная бумага,бумажная продукция,1
бумага хозяйственного назначения,бумажная продукция,1
лакмусовая бумага,бумажная продукция,1
судорожный (суетливый),суетливый,1
клеветать,"позорить, порочить",1
облить грязью,"позорить, порочить",1
компрометировать,"позорить, порочить",1
черный пиар,"позорить, порочить",1
микрофон,преобразователь (устройство),1
звуковоспроизводящая аппаратура,преобразователь (устройство),1
фотоэлемент (электронный прибор),преобразователь (устройство),1
электропривод,преобразователь (устройство),1
преобразователь тока,преобразователь (устройство),1
"высмотреть, углядеть",всмотреться,1
бронировать (закрепить),резервировать,1
миллиардер,миллионер,1
троица (божество),божество,1
"монограмма, вензель",буквосочетание,1
корка плода,кожура,1
потерпевшая сторона,сторона (группа лиц),1
деловой партнер,сторона (группа лиц),1
"игрок, участник игры",сторона (группа лиц),1
дуэлянт,сторона (группа лиц),1
участник переговоров,сторона (группа лиц),1
сторона в договоре,сторона (группа лиц),1
третья сторона,сторона (группа лиц),1
"принимающая сторона, хозяин",сторона (группа лиц),1
противостоящая сторона,сторона (группа лиц),1
автобусный транспорт,автомобильный транспорт,1
грузовой автотранспорт,автомобильный транспорт,1
команда (приказ),приказ (распоряжение),1
ордер (предписание),приказ (распоряжение),1
распорядительный документ,приказ (распоряжение),1
светофор,световое сигнальное устройство,1
маяк (башня),световое сигнальное устройство,1
"мигалка, мигающий фонарь",световое сигнальное устройство,1
военный комиссар,воинская должность,1
военный комендант,воинская должность,1
главнокомандующий,воинская должность,1
командующий армией,воинская должность,1
командир батальона,воинская должность,1
командир дивизии,воинская должность,1
командир роты,воинская должность,1
электромагнитные волны,поле сил,1
"биополе, аура",поле сил,1
"топить, истопить",обогреть (согреть),1
"пригреть (обогреть немного, слегка или сверху)",обогреть (согреть),1
обогрев помещения,обогреть (согреть),1
"парить, пропарить",прогреть (основательно нагреть),1
лечебное прогревание,прогреть (основательно нагреть),1
"перерасчет (расчет, произведенный заново)",пересмотр решений,1
ревизия учения,пересмотр решений,1
пересмотр судебных решений,пересмотр решений,1
оборудование радиовещания,телерадиовещательное оборудование,1
оборудование для телевещания,телерадиовещательное оборудование,1
ретранслятор,телерадиовещательное оборудование,1
параболическая антенна,телерадиовещательное оборудование,1
беременность,физиологический процесс,1
клинический симптом,физиологический процесс,1
"болеть, быть больным",физиологический процесс,1
рост живого организма,физиологический процесс,1
"сон, состояние сна",физиологический процесс,1
"дыхание, дыхательный процесс",физиологический процесс,1
реакция организма,физиологический процесс,1
выделить из организма,физиологический процесс,1
регенерация,физиологический процесс,1
климакс,физиологический процесс,1
сердцебиение,физиологический процесс,1
анабиоз (физиологический процесс),физиологический процесс,1
атрофия органа,физиологический процесс,1
линька животных,физиологический процесс,1
менструация,физиологический процесс,1
обмен веществ,физиологический процесс,1
"пищеварение, переваривание пищи",физиологический процесс,1
прободение,физиологический процесс,1
артериальный пульс,физиологический процесс,1
дрожь в теле,физиологический процесс,1
маразм (сост. полн. упадка психофиз. деят -ти),физиологический процесс,1
оплодотворение (физиологический процесс),физиологический процесс,1
пигментировать,физиологический процесс,1
"рефлекс, рефлекторная реакция",физиологический процесс,1
секреция,физиологический процесс,1
спячка животных,физиологический процесс,1
фотосинтез,физиологический процесс,1
кроветворение,физиологический процесс,1
половое созревание,физиологический процесс,1
физиологическая желтуха новорожденных,физиологический процесс,1
внутриутробное развитие,физиологический процесс,1
биологический симбиоз,физиологический процесс,1
гипоксия,физиологический процесс,1
сокращения мышц,физиологический процесс,1
одышка (нарушение дыхания),физиологический процесс,1
отторжение пересаженных тканей и органов,физиологический процесс,1
овуляция,физиологический процесс,1
менструальный цикл,физиологический процесс,1
эрозия эпителия,физиологический процесс,1
координация движений,физиологический процесс,1
зачатие,физиологический процесс,1
физиологический процесс растения,физиологический процесс,1
"длинноногий, с длинными ногами",особенности телосложения,1
"плечистый, широкоплечий",особенности телосложения,1
чемпионат мира по футболу,чемпионат мира,1
домашняя страница,интернет-страница,1
стриптиз,"обнажиться, обнажить тело",1
"перекрасить, покрасить заново","переделать, сделать заново",1
перерисовать заново,"переделать, сделать заново",1
"переварить, сварить заново","переделать, сделать заново",1
переоборудовать,"переделать, сделать заново",1
переплести (сплести заново),"переделать, сделать заново",1
перетянуть (заново натянуть),"переделать, сделать заново",1
"перевязать (распустив вязку, связать заново)","переделать, сделать заново",1
перекрыть крышу,"переделать, сделать заново",1
перелить изделие,"переделать, сделать заново",1
перепланировать (распланировать заново),"переделать, сделать заново",1
"перерасчет (расчет, произведенный заново)","переделать, сделать заново",1
"перестройка зданий, сооружений","переделать, сделать заново",1
переоформление документов,"переделать, сделать заново",1
переоснастить,"переделать, сделать заново",1
переработать (переделать),"переделать, сделать заново",1
перегруппировать,"переделать, сделать заново",1
переложить покрытие,"переделать, сделать заново",1
воспеть,восхвалять,1
прославить,восхвалять,1
апология (восхваление),восхвалять,1
"неустойчивый, нестойкий",изменчивый,1
эмиссия ценных бумаг,операции с ценными бумагами,1
размещение ценных бумаг,операции с ценными бумагами,1
операции с акциями,операции с ценными бумагами,1
операции с долговыми ценными бумагами,операции с ценными бумагами,1
фармацевтическая промышленность,медицинская промышленность,1
информационные коммуникации,сети связи,1
радиосеть,сети связи,1
телефонная сеть,сети связи,1
широкополосная сеть,сети связи,1
отчаянный до безрассудства,"бесстрашие, храбрость, смелость",1
"дерзкий, дерзновенный","бесстрашие, храбрость, смелость",1
бойцовский по характеру,"бесстрашие, храбрость, смелость",1
"удальство, удаль","бесстрашие, храбрость, смелость",1
доблестный (самоотверженный),"бесстрашие, храбрость, смелость",1
решимость,"бесстрашие, храбрость, смелость",1
кураж,"бесстрашие, храбрость, смелость",1
телеобозреватель,тележурналист,1
телеведущий,тележурналист,1
ручная граната,граната,1
опийный мак,мак,1
"отступить, отшагнуть",отодвинуться (отдалиться),1
"откатиться в сторону, назад",отодвинуться (отдалиться),1
елочка (узор),геометрический узор,1
клетка (узор),геометрический узор,1
свободно конвертируемая валюта,денежная единица,1
рубль,денежная единица,1
американский доллар,денежная единица,1
иностранная валюта,денежная единица,1
коллективная валюта,денежная единица,1
аргентинский песо,денежная единица,1
"дари, деньги афганистана",денежная единица,1
"франк, бельгийский",денежная единица,1
кьят,денежная единица,1
боливийский песо,денежная единица,1
фунт стерлингов,денежная единица,1
гурд,денежная единица,1
кетсаль,денежная единица,1
каури,денежная единица,1
марка немецкая,денежная единица,1
лемпира,денежная единица,1
драхма,денежная единица,1
"крона, датская",денежная единица,1
египетский фунт,денежная единица,1
израильский шекель,денежная единица,1
индийская рупия,денежная единица,1
индонезийская рупия,денежная единица,1
иранский риал,денежная единица,1
канадский доллар,денежная единица,1
китайский юань,денежная единица,1
"колон, костариканский",денежная единица,1
кордоба,денежная единица,1
"крона, норвежская",денежная единица,1
риал (ден. омана),денежная единица,1
гуарани,денежная единица,1
перуанское инти,денежная единица,1
польский злотый,денежная единица,1
"колон, сальвадорский",денежная единица,1
"лира, турецкая",денежная единица,1
филиппинский песо,денежная единица,1
"франк, французский",денежная единица,1
швейцарский франк,денежная единица,1
"крона, шведская",денежная единица,1
"рупия, шри-ланки",денежная единица,1
японская иена,денежная единица,1
австралийский доллар,денежная единица,1
казахстанский тенге,денежная единица,1
"рубль, белорусский",денежная единица,1
киргизский сом,денежная единица,1
"лира, итальянская",денежная единица,1
азербайджанский манат,денежная единица,1
евро,денежная единица,1
крузейро,денежная единица,1
гривна,денежная единица,1
генеральный штаб,штаб вооруженных сил,1
интерес (особое внимание),внимание (сосредоточенность),1
маршрутное такси,миниавтобус,1
состав преступления,"суть, существо, сущность, содержание",1
тема (содержание),"суть, существо, сущность, содержание",1
сюжет,"суть, существо, сущность, содержание",1
содержание текста,"суть, существо, сущность, содержание",1
квинтэссенция,"суть, существо, сущность, содержание",1
"смысл, значение","суть, существо, сущность, содержание",1
"подтекст, скрытый смысл","суть, существо, сущность, содержание",1
субстанция (основа),"суть, существо, сущность, содержание",1
ткань произведения,"суть, существо, сущность, содержание",1
душа (бессмертная сущность),"суть, существо, сущность, содержание",1
эмоциональная тональность,"суть, существо, сущность, содержание",1
закваска (черты характера),"суть, существо, сущность, содержание",1
"последствие, следствие",отношение между сущностями,1
"ресурс, источник",отношение между сущностями,1
"использовать, употреблять",отношение между сущностями,1
сходство,отношение между сущностями,1
ассоциация (связь),отношение между сущностями,1
обладать свойством,отношение между сущностями,1
"участие, участвовать",отношение между сущностями,1
краснеть (виднеться),отношение между сущностями,1
"влиять, воздействовать",отношение между сущностями,1
"касаться, дотрагиваться",отношение между сущностями,1
соотношение,отношение между сущностями,1
отсутствие,отношение между сущностями,1
"различный, разнообразный",отношение между сущностями,1
превзойти,отношение между сущностями,1
"находиться, пребывать",отношение между сущностями,1
"отвечать, нести ответственность",отношение между сущностями,1
"разный, неодинаковый",отношение между сущностями,1
пропустить возможность,отношение между сущностями,1
"различаться, различие",отношение между сущностями,1
одновременный,отношение между сущностями,1
ненужный (не требующийся),отношение между сущностями,1
уступить по результатам,отношение между сущностями,1
"подчиняться, находиться в подчинении",отношение между сущностями,1
взаимосвязь,отношение между сущностями,1
зависимость (отношение),отношение между сущностями,1
членство в организации,отношение между сущностями,1
подвергнуться воздействию,отношение между сущностями,1
"принадлежать, входить в состав",отношение между сущностями,1
синтаксическая связь,отношение между сущностями,1
"касаться, иметь отношение",отношение между сущностями,1
причинно-следственная связь,отношение между сущностями,1
непричастность,отношение между сущностями,1
"располагать, иметь в своем распоряжении",отношение между сущностями,1
временное (темпоральное) отношение,отношение между сущностями,1
пребывать в состоянии,отношение между сущностями,1
штемпель,штамп (вид печати),1
штамп прописки,штамп (вид печати),1
"сложиться, сброситься",внесение денег,1
фиктивный,"поддельный, фальшивый",1
фэн-шуй,"обустроить (устроить, наладить)",1
мраморная окраска,разводы (узор),1
официальный визит,визит,1
международный визит,визит,1
"бес, злой дух",дух (сверхъестественное существо),1
"дьявол, сатана",дух (сверхъестественное существо),1
джинн (злой дух),дух (сверхъестественное существо),1
социологическое исследование,общественно-политические исследования,1
житель,обитатель,1
наркопритон,преступный притон,1
промыть отверстие,размыть потоком,1
подмыть (размыть),размыть потоком,1
"сочувствовать (одобрять, поддерживать)",поддержать (одобрить),1
озеро,пресноводный водоем,1
умышленный поджог,"зажечь огонь, пламя",1
поджечь снизу,"зажечь огонь, пламя",1
растопка печи,"зажечь огонь, пламя",1
прикурить,"зажечь огонь, пламя",1
раздуть огонь,"зажечь огонь, пламя",1
задувка доменной печи,"зажечь огонь, пламя",1
"высечь искру, огонь","зажечь огонь, пламя",1
сандалии,туфли,1
женские лодочки,туфли,1
пуанты,туфли,1
босоножки,туфли,1
пробел в тексте,пропуск в тексте,1
болезнь,"нарушить состояние, ход",1
повреждение здоровья,"нарушить состояние, ход",1
"разрушить (нарушить, уничтожить)","нарушить состояние, ход",1
будить (заставлять проснуться),"нарушить состояние, ход",1
"сорвать (нарушить, прекратить)","нарушить состояние, ход",1
путать (нарушать порядок),"нарушить состояние, ход",1
изменить (нарушить верность),"нарушить состояние, ход",1
"расстроить, внести расстройство","нарушить состояние, ход",1
дезорганизация,"нарушить состояние, ход",1
дестабилизировать,"нарушить состояние, ход",1
разгерметизировать,"нарушить состояние, ход",1
документ президента,подзаконный акт,1
обвинительное заключение,"вывод, заключение",1
экспертное заключение,"вывод, заключение",1
прогноз,"вывод, заключение",1
"решение (заключение, вывод)","вывод, заключение",1
рассуждение (умозаключение),"вывод, заключение",1
резюме,"вывод, заключение",1
обобщение (общий вывод),"вывод, заключение",1
умозаключение (результат рассуждений),"вывод, заключение",1
мораль (поучительный вывод),"вывод, заключение",1
экономист-рыночник,экономист,1
ученый-экономист,экономист,1
частная жизнь,человеческая жизнь,1
вдовство,человеческая жизнь,1
пути сообщения,коммуникационная инфраструктура,1
транспортная сеть,коммуникационная инфраструктура,1
сети связи,коммуникационная инфраструктура,1
линия связи,коммуникационная инфраструктура,1
инженерные коммуникации,коммуникационная инфраструктура,1
газовая сеть,коммуникационная инфраструктура,1
энергетическая сеть,коммуникационная инфраструктура,1
магистральная линия,коммуникационная инфраструктура,1
выдавить (выломать),выломать,1
шахид,террорист-смертник,1
большевизм,коммунистический строй,1
серьга,личное украшение,1
шейное украшение,личное украшение,1
кольцо (украшение),личное украшение,1
браслет (украшение),личное украшение,1
бижутерия,личное украшение,1
брошь,личное украшение,1
зарин,нервно-паралитические вещества,1
табун (отравляющее вещество),нервно-паралитические вещества,1
командующий,командир (начальник),1
капитан судна,командир (начальник),1
командир батальона,командир (начальник),1
полевой командир,командир (начальник),1
командир дивизии,командир (начальник),1
командир роты,командир (начальник),1
"политработник, политрук",командир (начальник),1
воевода,командир (начальник),1
постоянные кадры,кадры,1
трудовой коллектив,кадры,1
личный состав,кадры,1
административные кадры,кадры,1
компьютеризация,автоматизация,1
механизация,автоматизация,1
автоматизированная система,автоматизация,1
роботизировать,автоматизация,1
автоматизация бизнеса,автоматизация,1
"сочление, место сочленения","сгиб, место сгиба",1
складка на ткани,"сгиб, место сгиба",1
чаща (густой лес),заросль,1
законодательство,нормативный акт,1
подзаконный акт,нормативный акт,1
нормативно-техническая документация,нормативный акт,1
положение (нормативный акт),нормативный акт,1
правила торговли,нормативный акт,1
нормативно-правовой акт,нормативный акт,1
дошкольное учреждение,социально-культурное учреждение,1
оздоровительное учреждение,социально-культурное учреждение,1
культурно-просветительная организация,социально-культурное учреждение,1
теплоэлектроцентраль,тепловая электростанция,1
ледоруб,топор,1
начес на ткани,"ворс на ткани, коже",1
метка (отличительный знак),пометка,1
дата (помета),пометка,1
виза (пометка),пометка,1
ординар,пометка,1
галочка (пометка),пометка,1
осужденный к смертной казни,осужденное лицо,1
"лицо, отбывающее наказание",осужденное лицо,1
гидрология,физическая география,1
климатология,физическая география,1
личинка животного,стадия,1
"предварительный, неокончательный",стадия,1
"окончательный (последний, полученный в итоге)",стадия,1
фаза (стадия),стадия,1
"градация (последов-ть, постепенность, при переходе )",стадия,1
росток (первые признаки),стадия,1
стадия болезни,стадия,1
слаборазвитый,стадия,1
стадия шахматной партии,стадия,1
"учиться, обучаться","познать, приобрести знание",1
самопознание,"познать, приобрести знание",1
вздохнуть,"дыхание, дыхательный процесс",1
несанкционированный доступ,"нарушить, преступить",1
нарушение авторских прав,"нарушить, преступить",1
нарушение территориальной целостности,"нарушить, преступить",1
нарушение воинской дисциплины,"нарушить, преступить",1
нарушение прав человека,"нарушить, преступить",1
нарушение уставных правил взаимоотношений,"нарушить, преступить",1
нарушение правил,"нарушить, преступить",1
попрать,"нарушить, преступить",1
просрочить,"нарушить, преступить",1
"бедокурить, шкодничать","нарушить, преступить",1
"неплатеж, неуплата","нарушить, преступить",1
"переборщить, перехватить","нарушить, преступить",1
"превысить права, полномочия","нарушить, преступить",1
"невыполнение, неосуществление","нарушить, преступить",1
невозврат,"нарушить, преступить",1
народный промысел,несельскохозяйственная деятельность,1
переработка сельскохозяйственной продукции,несельскохозяйственная деятельность,1
баян,народный инструмент,1
балалайка,народный инструмент,1
гусли,народный инструмент,1
домра,народный инструмент,1
домбра,народный инструмент,1
дудка,народный инструмент,1
бандура (струнный инструмент),народный инструмент,1
ложки (ударный музыкальный инструмент),народный инструмент,1
валяная обувь,зимняя обувь,1
декларация (программное заявление),заявление (официальное сообщение),1
пресс-релиз,заявление (официальное сообщение),1
альбом фотографий,альбом (тетрадь),1
голанские высоты,плато,1
растениеводческая продукция,растительное сырье,1
лекарственное растительное сырье,растительное сырье,1
небо во рту,стенка полого органа,1
"перегородка (преграда, разделяющая полость)",стенка полого органа,1
сычужный сыр,сыр,1
техническое задание,техническая документация,1
нормативно-техническая документация,техническая документация,1
технический паспорт,техническая документация,1
центризм,политическое направление,1
левая политическая ориентация,политическое направление,1
правая политическая ориентация,политическое направление,1
стойбище кочевников,становище,1
коттедж,индивидуальный жилой дом,1
усадьба,индивидуальный жилой дом,1
таунхаус,индивидуальный жилой дом,1
одобрить,"согласиться, дать согласие",1
"разрешить, позволить","согласиться, дать согласие",1
"уступить, идти на уступки","согласиться, дать согласие",1
предпринять (начать делать),"согласиться, дать согласие",1
"соизволить, соблаговолить","согласиться, дать согласие",1
акцепт оферты,"согласиться, дать согласие",1
плавкий предохранитель,электрический предохранитель,1
территориальная граница,"линия, черта",1
"предел, граница","линия, черта",1
контур (графическое изображение),"линия, черта",1
график (графическое изображение),"линия, черта",1
пунктирная линия,"линия, черта",1
штрих (короткая черта),"линия, черта",1
линейка (прямая черта),"линия, черта",1
ломаная линия,"линия, черта",1
кривая линия,"линия, черта",1
прямая линия,"линия, черта",1
экватор,"линия, черта",1
вертикальная линия,"линия, черта",1
горизонтальная линия,"линия, черта",1
виток спирали,"линия, черта",1
талия на одежде,"линия, черта",1
"трасса пули, снаряда","линия, черта",1
стартовая линия,"линия, черта",1
трасса на карте,"линия, черта",1
линия подчеркивания,"линия, черта",1
палочка (черточка),"линия, черта",1
линия разметки,"линия, черта",1
"джигит (искусный наездник, удалец)",всадник,1
"вороватый (опасливый, осторожный)",опасливый,1
мнительный,опасливый,1
царское самодержавие,абсолютная монархия,1
временный перевод на другую работу,перевод на другую работу,1
христианская церковь,церковь (религиозная организация),1
государственный комитет российской федерации,комитет,1
исполнительный комитет,комитет,1
организационный комитет,комитет,1
партийный комитет,комитет,1
районный комитет,комитет,1
городской комитет,комитет,1
областной комитет,комитет,1
оттечь,стекание жидкости,1
самотек (стекание),стекание жидкости,1
фужер,бокал для вина,1
девиз,изречение,1
афоризм,изречение,1
пословица,изречение,1
сентенция,изречение,1
крылатые слова,изречение,1
эпиграф,изречение,1
"перевооружить, обновить вооружение","вооружить, снабдить оружием",1
командировочный документ,направление (документ),1
путевки на отдых и лечение,направление (документ),1
путевой лист,направление (документ),1
советская перестройка,"перестроить порядок, систему",1
подстегнуть (подгоняя легко стегнуть),"торопить, подгонять",1
жених,виновник торжества,1
невеста,виновник торжества,1
юбиляр,виновник торжества,1
"новорожденный, именинник",виновник торжества,1
дивертисмент,номер (часть представления),1
аттракцион (эффектный номер),номер (часть представления),1
реприза (шуточный номер),номер (часть представления),1
"жертва, пострадавшее лицо",человек по роли,1
донор,человек по роли,1
экскурсант,человек по роли,1
член семьи,человек по роли,1
реформатор,человек по роли,1
представитель интересов,человек по роли,1
гребец,человек по роли,1
предатель,человек по роли,1
путешественник,человек по роли,1
знакомый человек,человек по роли,1
защитник (тот кто защищает),человек по роли,1
читатель,человек по роли,1
обидчик,человек по роли,1
докладчик,человек по роли,1
предъявитель,человек по роли,1
заступник,человек по роли,1
именинник,человек по роли,1
"гость (тот, кто посещает, навещает)",человек по роли,1
претендент,человек по роли,1
рассказчик,человек по роли,1
активист,человек по роли,1
пропагандист,человек по роли,1
безбилетник,человек по роли,1
провожатый,человек по роли,1
"поклонник, ухажер",человек по роли,1
дублер (человек),человек по роли,1
"беглец, беглянка",человек по роли,1
борец за какие-то цели,человек по роли,1
разрушитель,человек по роли,1
вдохновитель,человек по роли,1
повелитель,человек по роли,1
"доброволец, волонтер",человек по роли,1
воспитанник,человек по роли,1
дуэлянт,человек по роли,1
"зачинщик, закоперщик",человек по роли,1
